"","index","value","variable","has_issue","issue_type"
"31",NA,"Les filles n'ont pas l'âge d'aller à l'école il faut l'année prochaine /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
"32",NA,"N'A PAS L'AGE /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
"33",NA,"N'A PAS L'AGE D'ALLER A L'ECOLE /// instances: 1","desco_primaire_fille_autre",TRUE,"'other' response. may need recoding."
"34",NA,"Il n'a pas des enfants de cet âge /// instances: 1","desco_primaire_garcon_autre",TRUE,"'other' response. may need recoding."
"35",NA,"N'A PAS L'AGE /// instances: 1","desco_primaire_garcon_autre",TRUE,"'other' response. may need recoding."
"36",NA,"Aucune fille na cet âge /// instances: 1","desco_secondaire_fille_autre",TRUE,"'other' response. may need recoding."
"37",NA,"Elle a été renvoyé parce qu'elle n'a pas de niveau /// instances: 1","desco_secondaire_fille_autre",TRUE,"'other' response. may need recoding."
"38",NA,"Foyer de formation  pour  avoir  une main d'oeuvre  /// instances: 1","desco_secondaire_fille_autre",TRUE,"'other' response. may need recoding."
"39",NA,"Servante domestique  /// instances: 1","desco_secondaire_fille_autre",TRUE,"'other' response. may need recoding."
"40",NA,"Exlus de l'école /// instances: 1","desco_secondaire_garcon_autre",TRUE,"'other' response. may need recoding."
"41",NA,"L'enfant a commencé l'école mais il a été renvoyé parce que je n'ai pas des moyens /// instances: 1","desco_secondaire_garcon_autre",TRUE,"'other' response. may need recoding."
"42",NA,"L'enfant a été renvoyé /// instances: 1","desco_secondaire_garcon_autre",TRUE,"'other' response. may need recoding."
"43",NA,"Degradees /// instances: 1","dommage_cause_autre",TRUE,"'other' response. may need recoding."
"44",NA,"Pluie et rayons solaires /// instances: 1","dommage_cause_autre",TRUE,"'other' response. may need recoding."
"45",NA,"Demande de cautisation pour le COGES /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"46",NA,"Difficultés  à  traverser  le goudron pour  accéder  à  l'école /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"47",NA,"Il y a trop de grève à l'école /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"48",NA,"L'enfant a été refoulé jusqu'à l'année prochaine /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"49",NA,"L'enfant à une des problème santé qui à fait en sorte qu'il laisse l'école /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"50",NA,"LES ELEVES SONT EXPOS?S A L'AIR LIBRE SANS CLASSE /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"51",NA,"Les enfants doivent assister leur maman dans ses activités commerciales /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"52",NA,"Manque de nourriture pendant  la  récréation. /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"53",NA,"On nous demande toujours de l'argent pour COGES /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"54",NA,"Raison maladie /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"55",NA,"Une fois à l'école les enfants vont devenir des bandits /// instances: 1","edu_barriere_autre",TRUE,"'other' response. may need recoding."
"56",NA,"Dotation et installation de robinet personnel /// instances: 1","eha_aide_autre",TRUE,"'other' response. may need recoding."
"57",NA,"Si on peut nous construire des latrines c'est mieux /// instances: 1","eha_aide_autre",TRUE,"'other' response. may need recoding."
"58",NA,"Avoir l'accès à l'eau pour nos travaux du jardinage /// instances: 1","info_type_autre",TRUE,"'other' response. may need recoding."
"59",NA,"Information sur agriculture et élevage /// instances: 1","info_type_autre",TRUE,"'other' response. may need recoding."
"60",NA,"Information sur assistance des agr /// instances: 1","info_type_autre",TRUE,"'other' response. may need recoding."
"61",NA,"Information sur l'accès a l'électricité /// instances: 1","info_type_autre",TRUE,"'other' response. may need recoding."
"62",NA,"La protection  du genre  /// instances: 1","info_type_autre",TRUE,"'other' response. may need recoding."
"63",NA,"Note latrine est endommagée /// instances: 1","infra_latrine_autre",TRUE,"'other' response. may need recoding."
"64",NA,"Pas de latrine /// instances: 2","infra_latrine_autre",TRUE,"'other' response. may need recoding."
"65",NA,"utilisent les latrines des voisins /// instances: 1","infra_latrine_autre",TRUE,"'other' response. may need recoding."
"66",NA,"Utiliser  les toilette  des voisins  /// instances: 1","infra_latrine_autre",TRUE,"'other' response. may need recoding."
"67",NA,"Voisinage /// instances: 1","infra_latrine_autre",TRUE,"'other' response. may need recoding."
"68",NA,"Déplacement des agents  humanitaires /// instances: 1","mode_info_autre",TRUE,"'other' response. may need recoding."
"69",NA,"Venir chez nous nous informé /// instances: 1","mode_info_autre",TRUE,"'other' response. may need recoding."
"70",NA,"Algérie  /// instances: 1","origine_ref_autre",TRUE,"'other' response. may need recoding."
"71",NA,"Cameroun /// instances: 1","origine_ref_autre",TRUE,"'other' response. may need recoding."
"72",NA,"Côté  d'ivoire  /// instances: 1","origine_ref_autre",TRUE,"'other' response. may need recoding."
"73",NA,"Pakistan  /// instances: 1","origine_ref_autre",TRUE,"'other' response. may need recoding."
"74",NA,"Soudan /// instances: 9","origine_ref_autre",TRUE,"'other' response. may need recoding."
"75",NA,"Soudan  /// instances: 2","origine_ref_autre",TRUE,"'other' response. may need recoding."
"76",NA,"Aider mon mari à trouver de travail /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"77",NA,"Aider nos enfants pour avoir du travail /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"78",NA,"Avoir accès a l'emploi pour pouvoir subvenir a nos besoins /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"79",NA,"Avoir accès a une bonne voies routières /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"80",NA,"avoir accès aux bonnes routes  /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"81",NA,"Avoir des cannivaux, des moteurs pompes /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"82",NA,"Etre parmis les bénéficiaires /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"83",NA,"Je besoin de tout ce que vous pouvez me donner /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"84",NA,"Moyen de déplacement /// instances: 1","prio_besoins_autre",TRUE,"'other' response. may need recoding."
"85",NA,"Coupures  /// instances: 1","probleme_appro_eau_type_autre",TRUE,"'other' response. may need recoding."
"86",NA,"Les coupures de la societe d'exploitation /// instances: 1","probleme_appro_eau_type_autre",TRUE,"'other' response. may need recoding."
"87",NA,"Transporte l'eau vers centre humanitaire /// instances: 1","probleme_appro_eau_type_autre",TRUE,"'other' response. may need recoding."
"88",NA,"Beaucoup des choses, les  habits, les chaussures et auusi de l'argent si possible.  /// instances: 1","prot_aide_autre",TRUE,"'other' response. may need recoding."
"89",NA,"Ouverte du centre de santé /// instances: 1","sante_aide_autre",TRUE,"'other' response. may need recoding."
"90",NA,"Rencontre avec les médecins  /// instances: 1","sante_aide_autre",TRUE,"'other' response. may need recoding."
"91",NA,"De l'argent pour construire la maison et metre de l'électricité  dans ma maison. /// instances: 1","secal_aide_autre",TRUE,"'other' response. may need recoding."
"92",NA,"Renforcement d agr en cours /// instances: 1","secal_aide_autre",TRUE,"'other' response. may need recoding."
"93",NA,"Camp milaire /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"94",NA,"Camp militaire /// instances: 2","services_prot_autre",TRUE,"'other' response. may need recoding."
"95",NA,"Centre de centè militaire tondibiya /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"96",NA,"Centre de santé militaire tondibiya /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"97",NA,"Chauffeur /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"98",NA,"Chef du quartier /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"99",NA,"Chez le chef de village /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"100",NA,"Chez le chef du quartier /// instances: 2","services_prot_autre",TRUE,"'other' response. may need recoding."
"101",NA,"CHEZ SARKIN ZANKO /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"102",NA,"UNICEF /// instances: 1","services_prot_autre",TRUE,"'other' response. may need recoding."
"103",NA,"Dan goulbi /// instances: 2","site_autre",TRUE,"'other' response. may need recoding."
"104",NA,"Kalley centre /// instances: 4","site_autre",TRUE,"'other' response. may need recoding."
"105",NA,"Kalley Centre /// instances: 1","site_autre",TRUE,"'other' response. may need recoding."
"106",NA,"Kalley centre(Amirou) /// instances: 1","site_autre",TRUE,"'other' response. may need recoding."
"107",NA,"Laccouroussou /// instances: 1","site_autre",TRUE,"'other' response. may need recoding."
"108",NA,"Poudrière /// instances: 1","site_autre",TRUE,"'other' response. may need recoding."
"109",NA,"Avec les voisins /// instances: 2","source_boire_autre",TRUE,"'other' response. may need recoding."
"110",NA,"Eau de pompe dans autres concession /// instances: 1","source_boire_autre",TRUE,"'other' response. may need recoding."
"111",NA,"Le Robinet /// instances: 1","source_boire_autre",TRUE,"'other' response. may need recoding."
"112",NA,"Prendre de l'eau dans d'autre concession  /// instances: 1","source_boire_autre",TRUE,"'other' response. may need recoding."
"113",NA,"Robinet /// instances: 1","source_boire_autre",TRUE,"'other' response. may need recoding."
"114",NA,"Robinet du voisin /// instances: 3","source_boire_autre",TRUE,"'other' response. may need recoding."
"115",NA,"Robinet personnel /// instances: 1","source_boire_autre",TRUE,"'other' response. may need recoding."
"116",NA,"Aide humanitaire  /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"117",NA,"Aucun  travail  /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"118",NA,"Aucun travail  /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"119",NA,"Enseignement coranique /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"120",NA,"Ferrailleur /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"121",NA,"Gardien /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"122",NA,"Marabout et de fois fais la lessive /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"123",NA,"ONG /// instances: 4","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"124",NA,"ONG APBE /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"125",NA,"Pris en charge par l ong coopi /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"126",NA,"Taximan /// instances: 1","source_nourriture_autre",TRUE,"'other' response. may need recoding."
"127",NA,"A la retraite /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"128",NA,"Aide auprès des parents amis et connaissance /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"129",NA,"Aucun  travail  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"130",NA,"Aucun travail /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"131",NA,"Aucun travail  /// instances: 2","source_revenu_autre",TRUE,"'other' response. may need recoding."
"132",NA,"Aucun Travail  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"133",NA,"Aucune  Travail  /// instances: 2","source_revenu_autre",TRUE,"'other' response. may need recoding."
"134",NA,"Aucune activité c'est les musulmans qui nous nourru /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"135",NA,"Aucune activité prise en charge par ong /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"136",NA,"Aucune source de revenus  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"137",NA,"Aucune Travail  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"138",NA,"Ce sont mes enfants qui m'aident à gerer le menage /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"139",NA,"Chauffeur /// instances: 3","source_revenu_autre",TRUE,"'other' response. may need recoding."
"140",NA,"Demandeurs d'asile /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"141",NA,"Dons APBE /// instances: 2","source_revenu_autre",TRUE,"'other' response. may need recoding."
"142",NA,"DONS ONG /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"143",NA,"Elle dit k le mari n fait aucun travail il sort chercher c Dieu ki les aides  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"144",NA,"Enseignement coranique /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"145",NA,"Enseignent retraité , chef du quartier /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"146",NA,"Fait la lessive /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"147",NA,"Gardien /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"148",NA,"Il se débrouille  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"149",NA,"Je n'ai aucune source de revenu /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"150",NA,"Le chef de menage se débrouille  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"151",NA,"Locataire /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"152",NA,"Marabou /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"153",NA,"Marabout /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"154",NA,"Menier /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"155",NA,"Nourris par un autre menage.. /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"156",NA,"ONG /// instances: 7","source_revenu_autre",TRUE,"'other' response. may need recoding."
"157",NA,"Pansion /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"158",NA,"Pêche /// instances: 2","source_revenu_autre",TRUE,"'other' response. may need recoding."
"159",NA,"Recherche des fers usés  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"160",NA,"Refuge  /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"161",NA,"Retraité /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"162",NA,"Soutient d'argent par mes enfants. /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"163",NA,"Taxi /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"164",NA,"Vie de dons d'autrui /// instances: 1","source_revenu_autre",TRUE,"'other' response. may need recoding."
"165",NA,"Inondation /// instances: 2","type_restrictions_autre",TRUE,"'other' response. may need recoding."
